timestamp,ASELSAN
2012-10,6
2012-11,6
2012-12,6
2013-01,7
2013-02,7
2013-03,7
2013-04,5
2013-05,6
2013-06,5
2013-07,5
2013-08,5
2013-09,5
2013-10,5
2013-11,5
2013-12,5
2014-01,5
2014-02,6
2014-03,6
2014-04,6
2014-05,6
2014-06,5
2014-07,6
2014-08,5
2014-09,6
2014-10,5
2014-11,5
2014-12,5
2015-01,13
2015-02,6
2015-03,8
2015-04,6
2015-05,6
2015-06,5
2015-07,6
2015-08,6
2015-09,6
2015-10,6
2015-11,7
2015-12,9
2016-01,7
2016-02,11
2016-03,9
2016-04,7
2016-05,9
2016-06,8
2016-07,7
2016-08,8
2016-09,7
2016-10,6
2016-11,8
2016-12,9
2017-01,12
2017-02,13
2017-03,19
2017-04,15
2017-05,22
2017-06,16
2017-07,17
2017-08,20
2017-09,20
2017-10,30
2017-11,100
2017-12,54
2018-01,44
2018-02,41
2018-03,33
2018-04,39
2018-05,51
2018-06,55
2018-07,73
2018-08,57
2018-09,46
2018-10,48
2018-11,36
2018-12,34
2019-01,35
2019-02,36
2019-03,37
2019-04,31
2019-05,39
2019-06,27
2019-07,40
